numeroSociete;count;id1;name1;createdAt1;id2;name2;createdAt2
105319;2;73ab3b1f-d0b0-41f7-bf0c-6632dec6a562;"COLLEGE REMY NAINSOUTA";2023-02-01T00:00:00.000Z;a3656d47-9d35-4634-8f90-9bd9a720ef9b;"COLLEGE REMY NAINSOUTA";2023-02-01T00:00:00.000Z
105601;2;1863a7ab-8b87-42cd-98a0-16b24b6dcb70;"LYCEE DUMAS JEAN JOSEPH";2023-11-22T00:00:00.000Z;3fb18ea6-d35a-4002-a94d-6928c8ea67ec;"LYCEE DUMAS JEAN JOSEPH";2023-11-22T00:00:00.000Z
105987;2;4f356bf7-435f-4570-888f-52f436abf836;"COLLEGE ALEXANDRE MACAL";2023-01-10T00:00:00.000Z;ec19a4ef-025c-4071-b719-3869ea7e4c0e;"COLLEGE ALEXANDRE MACAL";2023-01-10T00:00:00.000Z
106107;2;1fa1f8b7-f741-426a-8d34-8124ca9dbb21;"COLLEGE PAULE BERTHELOT";2024-01-10T00:00:00.000Z;5f494af7-76cc-4bdc-99b2-9dec8c2e3005;"COLLEGE PAULE BERTHELOT";2024-01-10T00:00:00.000Z
106122;2;6caaa282-fbc4-4196-84a1-73b25075f7e4;"LYCEE GASTON MONNERVILLE";2023-02-01T00:00:00.000Z;bf1e796d-372a-44ba-bfda-6be94594c3f5;"LYCEE GASTON MONNERVILLE";2023-02-01T00:00:00.000Z
106312;2;882228ac-781d-49a8-b49f-d7382a6a7f4e;"COLLEGE GERMAIN SAINT-RUF";2023-03-01T00:00:00.000Z;d315e0e5-c359-4b3d-918a-b4d8927d7feb;"COLLEGE GERMAIN SAINT-RUF";2023-03-01T00:00:00.000Z
106413;2;b92d4a14-ce33-4419-9411-0a9c71ef9972;"COLLEGE REEBERG NERON";2023-02-01T00:00:00.000Z;f741cb89-e43d-445c-81fe-9ce280a4a027;"COLLEGE REEBERG NERON";2023-02-01T00:00:00.000Z
106565;2;024a6047-c27e-4f6d-859d-6104a1438b29;"COLLEGE PRIVE SAINTE ANNE";2024-11-12T00:00:00.000Z;cf77d878-3257-4fdf-9792-2d3332375230;"COLLEGE PRIVE SAINTE ANNE";2024-11-12T00:00:00.000Z
106646;2;402697f3-2459-44a2-8fd6-407b1bbbcc1b;"PIERRE DE MEUSE";2023-02-01T00:00:00.000Z;9cc15760-031b-42db-8295-b7008a90f761;"PIERRE DE MEUSE";2023-02-01T00:00:00.000Z
106713;2;b033daea-04a2-44ab-9fcf-2ce844617b3c;"DM INDUSTRIE";2025-12-01T00:00:00.000Z;c2e69e14-7682-48c1-b1a4-0a4d3445ec0e;"DM INDUSTRIE";2025-12-01T00:00:00.000Z
106772;2;82bd8ea7-b816-4de2-9d6f-0e8c8750c5c6;"COLLEGE JEAN BULLANT";2025-01-10T00:00:00.000Z;eb9da8b6-fc38-4538-9297-94a6a54adf37;"COLLEGE JEAN BULLANT";2025-01-10T00:00:00.000Z
106794;2;6d80c838-7238-411d-abfa-cefbeed94ed0;"ECOLE COLLEGE ST SEURIN";2023-07-10T00:00:00.000Z;cbbd1642-aff0-4a22-afc7-b8431e3bc5aa;"ECOLE COLLEGE ST SEURIN";2023-07-10T00:00:00.000Z
106990;2;032149e6-2cf1-4a10-a5d0-5a98ff51cc81;"LYCEE PROFESSIONNEL MONTCIEL";2024-11-18T00:00:00.000Z;f8a8f527-05fa-48f0-ab8d-5134f6143e6d;"LYCEE PROFESSIONNEL MONTCIEL";2024-11-18T00:00:00.000Z
106992;2;935a506b-4979-4422-9fbb-b9d356d5618c;"MAIRIE DE COMPANS";2023-02-01T00:00:00.000Z;c3ef90d1-6bac-4c0e-89c1-294e5725aacc;"MAIRIE DE COMPANS";2023-02-01T00:00:00.000Z
107201;2;296507c5-8015-41fe-9679-f50223670217;"MAIRIE DE DOMVAST";2023-08-01T00:00:00.000Z;eeaaaa78-e866-4d61-91aa-492d8ee49a79;"MAIRIE DE DOMVAST";2023-08-01T00:00:00.000Z
107295;2;1e51408b-c9e2-4d36-b25e-0134ce4644f4;"MAIRIE DE BOUSSOIS";2023-03-07T00:00:00.000Z;e85f653a-1054-4aa2-af51-183eb849c773;"MAIRIE DE BOUSSOIS";2023-03-07T00:00:00.000Z
107349;2;17ce613b-ae29-43b7-ad65-36fa6077b798;"MAIRIE DE ITTEVILLE";2025-01-10T00:00:00.000Z;240e59b4-5f52-48e8-9481-7b8cf093ad93;"MAIRIE DE ITTEVILLE";2025-01-10T00:00:00.000Z
107434;2;1bf71cb9-2034-4cb9-be3d-e381ee9be6da;"LYCEE DES METIERS LA VISTE";2023-02-10T00:00:00.000Z;6c7beef5-75d7-4edb-a5a7-9b0a277e045a;"LYCEE DES METIERS LA VISTE";2023-02-10T00:00:00.000Z
107518;2;89523944-7423-495e-a50c-913fe7627dea;"DRAGON ROUGE";2023-06-26T00:00:00.000Z;c6eccfc2-c18b-48b2-ace8-d682878aa4ab;"DRAGON ROUGE";2023-06-26T00:00:00.000Z
107971;2;1c7e52f7-3a5d-4151-b50f-eac135e666c9;"CITE SCOLAIRE JEANNE D'ARC";2025-12-10T00:00:00.000Z;7d8f64fb-b8f2-45e4-a1fa-cbecbf6237fd;"CITE SCOLAIRE JEANNE D'ARC";2025-12-10T00:00:00.000Z
107972;2;3a793e8a-11c8-4d89-a95c-c47619e49662;"ECOLE SAINT FRANCOIS";2025-12-10T00:00:00.000Z;f81a232a-f9b4-479d-8aa2-f3c0aa6ac9c3;"ECOLE SAINT FRANCOIS";2025-12-10T00:00:00.000Z
107973;2;512e1913-dfc4-4a24-9cfa-fdaa36f8fe41;"ECOLE JEANNE D'ARC";2025-12-10T00:00:00.000Z;c84315c3-1641-4879-9927-bfba7ba0ce5a;"ECOLE JEANNE D'ARC";2025-12-10T00:00:00.000Z
108128;2;0728aca4-79de-40d7-ad26-1491c27327aa;"MAIRIE DE LABASTIDE DE VIRAC";2023-01-10T00:00:00.000Z;e60fd49c-81f0-4bc3-8111-9938a6ad96ae;"MAIRIE DE LABASTIDE DE VIRAC";2023-01-10T00:00:00.000Z
108129;2;a951ac3a-b0b0-423e-b452-11f1877fabcb;"GARAGE SCHMIDT AUTO";2023-01-10T00:00:00.000Z;eff1f0cf-1591-4c17-a6b7-5831d4240417;"GARAGE SCHMIDT AUTO";2023-01-10T00:00:00.000Z
108151;2;3154592a-6389-41a2-bf40-3f979b703f10;"COLLEGE PAUL ELUARD";2023-02-10T00:00:00.000Z;43ca59dc-78ba-4eae-97b4-7f4ee57c7db5;"COLLEGE PAUL ELUARD";2023-02-10T00:00:00.000Z
108160;2;e6ed52ba-8f93-44e2-b918-4abd5a73ead8;"FONDATION PARTAGE ET VIE";2023-03-01T00:00:00.000Z;f203491d-bbbd-4880-a86e-5f30afb9a482;"FONDATION PARTAGE ET VIE";2023-03-01T00:00:00.000Z
